Date,DTB3,GS10,GS10_DTB3,BAA_AAA,ln(Gold),ln(GSCI),ln(SP500)
2/1/1970,6.85,7.24,0.39,0.85,3.5553,4.6479,1.962857237
3/1/1970,6.38,7.07,0.69,0.79,3.5639,4.651,1.981426327
4/1/1970,6.93,7.39,0.46,0.87,3.5793,4.6302,1.979471494
5/1/1970,6.93,7.91,0.98,0.87,3.5695,4.5995,1.939310735
6/1/1970,6.49,7.84,1.35,0.77,3.5698,4.6591,1.94957406
7/1/1970,6.38,7.46,1.08,0.96,3.5636,4.6067,1.963201632
8/1/1970,6.33,7.53,1.2,1.31,3.5774,4.6563,1.988175734
9/1/1970,5.84,7.39,1.55,1.3,3.5902,4.6602,2.025192146
10/1/1970,5.84,7.33,1.49,1.3,3.6217,4.6528,2.045931873
11/1/1970,5.04,6.84,1.8,1.33,3.627,4.6476,2.056790949
12/1/1970,4.85,6.39,1.54,1.48,3.6211,4.6531,2.096048305
1/1/1971,4.15,6.24,2.09,1.38,3.6376,4.7022,2.122414246
2/1/1971,3.4,6.11,2.71,1.31,3.6582,4.687,2.148571102
3/1/1971,3.64,5.7,2.06,1.25,3.6584,4.6819,2.168932609
4/1/1971,3.93,5.83,1.9,1.2,3.6788,4.6768,2.192538708
5/1/1971,4.34,6.39,2.05,1.09,3.7087,4.6816,2.195691876
6/1/1971,5.22,6.52,1.3,1.11,3.6939,4.6649,2.196769286
7/1/1971,5.31,6.73,1.42,1.12,3.749,4.6547,2.202844868
8/1/1971,4.44,6.58,2.14,1.17,3.7136,4.6486,2.204409659
9/1/1971,4.6,6.14,1.54,1.15,3.749,4.6403,2.223095216
10/1/1971,4.31,5.93,1.62,1.09,3.7471,4.6825,2.223074863
11/1/1971,4.34,5.81,1.47,1.12,3.7739,4.6848,2.212184971
12/1/1971,3.68,5.93,2.25,1.13,3.7728,4.7179,2.250151538
1/1/1972,3.35,5.95,2.6,1.04,3.8491,4.7275,2.276554307
2/1/1972,3.46,6.08,2.62,0.96,3.8795,4.7146,2.292956303
3/1/1972,3.83,6.07,2.24,1,3.8791,4.712,2.311427879
4/1/1972,3.63,6.19,2.56,0.94,3.902,4.7271,2.324010291
5/1/1972,3.81,6.13,2.32,0.93,4.0826,4.7313,2.327829319
6/1/1972,4.06,6.11,2.05,0.97,4.1604,4.7526,2.337227435
7/1/1972,3.8,6.11,2.31,1.02,4.2327,4.7121,2.342218883
8/1/1972,4.55,6.21,1.66,1,4.2017,4.7752,2.365278428
9/1/1972,4.55,6.55,2,0.87,4.1604,4.8603,2.367008723
10/1/1972,4.76,6.48,1.72,0.85,4.1656,4.8466,2.375845716
11/1/1972,4.88,6.28,1.4,0.87,4.1526,4.9182,2.404812325
12/1/1972,5.14,6.36,1.22,0.85,4.1698,4.9914,2.421358836
1/1/1973,5.68,6.46,0.78,0.75,4.1897,5.0151,2.432197735
2/1/1973,5.85,6.64,0.79,0.75,4.4462,5.0347,2.424273621
3/1/1973,6.4,6.71,0.31,0.74,4.5026,5.0045,2.425202624
4/1/1973,6.23,6.67,0.44,0.83,4.5076,5.0364,2.424975207
5/1/1973,6.92,6.85,-0.07,0.77,4.7406,5.1931,2.420772668
6/1/1973,7.52,6.9,-0.62,0.76,4.8162,5.1108,2.419289439
7/1/1973,8.32,7.13,-1.19,0.79,4.7467,5.3434,2.431709746
8/1/1973,8.66,7.4,-1.26,0.85,4.6444,5.3385,2.431769457
9/1/1973,6.98,7.09,0.11,1,4.6077,5.2888,2.447466665
10/1/1973,7.36,6.79,-0.57,0.81,4.5773,5.2276,2.472342141
11/1/1973,7.3,6.73,-0.57,0.75,4.6077,5.2936,2.44891591
12/1/1973,7.46,6.74,-0.72,0.8,4.7207,5.3878,2.426294954
1/1/1974,7.48,6.99,-0.49,0.65,4.8922,5.4979,2.441457933
2/1/1974,7.46,6.96,-0.5,0.68,5.1329,5.4662,2.438572344
3/1/1974,8.28,7.21,-1.07,0.61,5.1533,5.3608,2.465597025
4/1/1974,8.9,7.51,-1.39,0.62,5.1269,5.3231,2.452167818
5/1/1974,8.08,7.58,-0.5,0.68,5.0531,5.2524,2.448439827
6/1/1974,7.34,7.54,0.2,0.8,4.9887,5.3305,2.458563391
7/1/1974,7.67,7.81,0.14,0.76,5.037,5.5347,2.415455883
8/1/1974,8.93,8.04,-0.89,0.77,5.045,5.4821,2.408325027
9/1/1974,6.12,8.04,1.92,0.94,4.9938,5.5506,2.373066662
10/1/1974,7.8,7.9,0.1,1.21,5.1144,5.6315,2.393513481
11/1/1974,7.47,7.68,0.21,1.71,5.204,5.6678,2.419314566
12/1/1974,7.06,7.43,0.37,1.74,5.2338,5.5761,2.402447223
1/1/1975,5.68,7.5,1.82,1.98,5.1719,5.4067,2.44808807
2/1/1975,5.4,7.39,1.99,2.03,5.2095,5.2904,2.501415533
3/1/1975,5.53,7.73,2.2,1.81,5.1902,5.3713,2.530889643
4/1/1975,5.5,8.23,2.73,1.63,5.1168,5.2996,2.545590588
5/1/1975,5.2,8.06,2.86,1.79,5.1299,5.2428,2.581583849
6/1/1975,5.86,7.86,2,1.85,5.1228,5.2361,2.601522769
7/1/1975,6.25,8.06,1.81,1.71,5.1556,5.2592,2.610830224
8/1/1975,6.36,8.4,2.04,1.64,5.0925,5.353,2.587329251
9/1/1975,6.58,8.43,1.85,1.66,4.9572,5.3528,2.591653188
10/1/1975,5.51,8.14,2.63,1.76,4.9614,5.2646,2.620342544
